X Z V VxVz
42 -35 1.98 1.130159039
42 -34 1.97 1.127687126
42 -33 1.96 1.12491431
42 -32 1.94 1.121674611
42 -31 1.94 1.118018573
42 -30 1.94 1.113845003
42 -29 1.91 1.109145212
42 -28 1.87 1.103863925
42 -27 1.83 1.098297623
42 -26 1.79 1.092749042
42 -25 1.77 1.08780372
42 -24 1.76 1.083546698
42 -23 1.77 1.080125889
42 -22 1.8 1.07752219
42 -21 1.81 1.075560103
42 -20 1.78 1.073969292
42 -19 1.73 1.072487175
42 -18 1.66 1.070956756
42 -17 1.609195495 1.069365559
42 -16 1.567986384 1.067839891
42 -15 1.539537906 1.066550526
42 -14 1.51695305 1.065667562
42 -13 1.503620847 1.065372178
42 -12 1.482421888 1.065472645
42 -11 1.476793559 1.065761063
42 -10 1.473193114 1.066212186
42 -9 1.460418224 1.066731527
42 -8 1.447509662 1.067180215
42 -7 1.414710478 1.067456321
42 -6 1.386479846 1.067586147
42 -5 1.371908089 1.067639307
42 -4 1.361063182 1.067661313
42 -3 1.352913777 1.067685265
42 -2 1.346781815 1.067742414
42 -1 1.342307913 1.067847937
42 0 1.338126249 1.067987469
43 -200 2.37 1.08
43 -199 2.37 1.08
43 -198 2.37 1.08
43 -197 2.37 1.08
43 -196 2.37 1.08
43 -195 2.37 1.08
43 -194 2.37 1.08
43 -193 2.37 1.08
43 -192 2.37 1.08
43 -191 2.37 1.08
43 -190 2.37 1.08
43 -189 2.37 1.08
43 -188 2.37 1.08
43 -187 2.37 1.08
43 -186 2.37 1.08
43 -185 2.37 1.08
43 -184 2.37 1.08
43 -183 2.37 1.08
43 -182 2.37 1.08
43 -181 2.37 1.08
43 -180 2.37 1.08
43 -179 2.37 1.08
43 -178 2.37 1.08
43 -177 2.37 1.08
43 -176 2.37 1.08
43 -175 2.37 1.08
43 -174 2.37 1.08
43 -173 2.37 1.080000003
43 -172 2.37 1.080000023
43 -171 2.369999997 1.080000145
43 -170 2.36999998 1.080000735
43 -169 2.369999898 1.080003014
43 -168 2.369999565 1.080010254
43 -167 2.369998385 1.080030792
43 -166 2.369994723 1.080088287
43 -165 2.369984756 1.080214211
43 -164 2.369960973 1.080462662
43 -163 2.369911413 1.080895707
43 -162 2.369822047 1.081557941
43 -161 2.369685421 1.082464276
43 -160 2.369516648 1.083624244
43 -159 2.369370775 1.084960868
43 -158 2.369347419 1.086398589
43 -157 2.369568358 1.087870888
43 -156 2.370136494 1.08934188
43 -155 2.371124735 1.090814168
43 -154 2.372674335 1.092318491
43 -153 2.375238579 1.093887355
43 -152 2.379884964 1.095542049
43 -151 2.388435955 1.097234241
43 -150 2.403146335 1.098864869
43 -149 2.426490905 1.100373124
43 -148 2.457849213 1.101832746
43 -147 2.492362616 1.103401062
43 -146 2.521732269 1.105238982
43 -145 2.539531091 1.107485919
43 -144 2.546161282 1.109788455
43 -143 2.546853429 1.111960308
43 -142 2.545390016 1.11366683
43 -141 2.53998073 1.114760175
43 -140 2.527032666 1.115415582
43 -139 2.50810352 1.115428727
43 -138 2.489549381 1.115217266
43 -137 2.474633844 1.114861623
43 -136 2.461300405 1.11442532
43 -135 2.445700254 1.113885949
43 -134 2.423186334 1.113514739
43 -133 2.404508995 1.113344594
43 -132 2.403893448 1.113488696
43 -131 2.438136304 1.114113024
43 -130 2.485504097 1.115403921
43 -129 2.52360634 1.117440778
