X  Z  V  Vxz
15  -184  2.436295888  1.048066448
16  -184  2.43381289  1.0480651
17  -184  2.43381289  1.04806547
18  -184  2.43381289  1.048065293
19  -184  2.43381289  1.0480655
20  -184  2.43381289  1.048065813
21  -184  2.43381289  1.048066138
22  -184  2.43381289  1.048066466
23  -184  2.43381289  1.048066825
24  -184  2.43381289  1.04806722
25  -184  2.43381289  1.048065719
26  -184  2.43381289  1.048066154
27  -184  2.43381289  1.048068523
28  -184  2.43381289  1.048068761
29  -184  2.43381289  1.048068834
30  -184  2.43381289  1.048068752
31  -184  2.43381289  1.048068633
32  -184  2.43381289  1.04806853
33  -184  2.43381289  1.048068371
34  -184  2.43381289  1.048067294
35  -184  2.43381289  1.048066771
36  -184  2.43381289  1.04806729
37  -184  2.43381289  1.048068384
38  -184  2.43381289  1.048068413
39  -184  2.43381289  1.048069529
40  -184  2.43381289  1.048069853
0  -183  2.437551758  1.048065906
1  -183  2.437161504  1.048066645
2  -183  2.437919527  1.048067459
3  -183  2.43381289  1.048067051
4  -183  2.43381289  1.048067854
5  -183  2.43381289  1.048067636
6  -183  2.43381289  1.04806792
7  -183  2.43381289  1.048065607
8  -183  2.43381289  1.048065055
9  -183  2.43381289  1.048064487
10  -183  2.43381289  1.048064606
11  -183  2.43381289  1.048065062
12  -183  2.43381289  1.04806559
13  -183  2.43381289  1.048066155
14  -183  2.43381289  1.048066655
15  -183  2.43381289  1.048064444
16  -183  2.43381289  1.048065652
17  -183  2.43381289  1.048065564
18  -183  2.43381289  1.048064575
19  -183  2.43381289  1.048064404
20  -183  2.43381289  1.048064797
21  -183  2.43381289  1.048065312
22  -183  2.43381289  1.048065852
23  -183  2.43381289  1.04806644
24  -183  2.43381289  1.048066857
25  -183  2.43381289  1.048065434
26  -183  2.43381289  1.048066163
27  -183  2.43381289  1.04806684
28  -183  2.43381289  1.048066627
29  -183  2.43381289  1.048067663
30  -183  2.43381289  1.048067759
31  -183  2.43381289  1.048067842
32  -183  2.43381289  1.048066537
33  -183  2.43381289  1.048066419
34  -183  2.43381289  1.048066292
35  -183  2.43381289  1.048066595
36  -183  2.43381289  1.048068237
37  -183  2.43381289  1.048068328
38  -183  2.43381289  1.048068338
39  -183  2.43381289  1.048068547
40  -183  2.43381289  1.048069071
0  -182  2.436977923  1.048066853
1  -182  2.437657267  1.048066413
2  -182  2.437253243  1.048067132
3  -182  2.43381289  1.048068034
4  -182  2.43381289  1.048067816
5  -182  2.43381289  1.04806821
6  -182  2.43381289  1.04806772
7  -182  2.43381289  1.048067566
8  -182  2.43381289  1.048065078
9  -182  2.43381289  1.048064773
10  -182  2.43381289  1.048064639
11  -182  2.43381289  1.048065107
12  -182  2.43381289  1.048065737
13  -182  2.43381289  1.0480664
14  -182  2.43381289  1.048068255
15  -182  2.43381289  1.048065939
16  -182  2.43381289  1.048064342
17  -182  2.43381289  1.048065054
18  -182  2.43381289  1.048065101
19  -182  2.43381289  1.048064463
20  -182  2.43381289  1.048064804
21  -182  2.43381289  1.048065392
22  -182  2.43381289  1.048066062
23  -182  2.43381289  1.048066719
24  -182  2.43381289  1.048065655
25  -182  2.43381289  1.04806616
26  -182  2.43381289  1.048066927
27  -182  2.43381289  1.04806729
28  -182  2.43381289  1.048067693
29  -182  2.43381289  1.048066575
30  -182  2.43381289  1.04806528
31  -182  2.43381289  1.04806559
32  -182  2.43381289  1.048065727
33  -182  2.43381289  1.048066115
34  -182  2.43381289  1.048066664
35  -182  2.43381289  1.04806786
36  -182  2.43381289  1.048068121
37  -182  2.43381289  1.048068171
38  -182  2.43381289  1.048068157
39  -182  2.43381289  1.048068191
40  -182  2.43381289  1.048067476
0  -181  2.437506243  1.048068327
1  -181  2.437937355  1.048068177
2  -181  2.437592542  1.048067385
3  -181  2.43381289  1.04806624
4  -181  2.43381289  1.048067433
5  -181  2.43381289  1.04806425
6  -181  2.43381289  1.048065478
7  -181  2.43381289  1.048066239
8  -181  2.43381289  1.048066741
9  -181  2.43381289  1.048066586
10  -181  2.43381289  1.048066164
11  -181  2.43381289  1.048067848
12  -181  2.43381289  1.04806783
13  -181  2.43381289  1.048068842
14  -181  2.43381289  1.048068597
15  -181  2.43381289  1.048068352
16  -181  2.43381289  1.048068107
17  -181  2.43381289  1.04806736
18  -181  2.43381289  1.048065987
19  -181  2.43381289  1.048068117
20  -181  2.43381289  1.048068072
21  -181  2.43381289  1.048067638
22  -181  2.43381289  1.048066836
23  -181  2.43381289  1.048066496
24  -181  2.43381289  1.048066696
25  -181  2.43381289  1.04806716
26  -181  2.43381289  1.048067555
27  -181  2.43381289  1.048066897
28  -181  2.43381289  1.048066762
29  -181  2.43381289  1.048066614
30  -181  2.43381289  1.048066912
31  -181  2.43381289  1.048067374
32  -181  2.43381289  1.0480675
33  -181  2.43381289  1.048067458
34  -181  2.43381289  1.048068449
35  -181  2.43381289  1.048067584
36  -181  2.43381289  1.048067725
37  -181  2.43381289  1.048067726
38  -181  2.43381289  1.04806766
39  -181  2.43381289  1.048067776
40  -181  2.43381289  1.048067038
